0001-253X	Aslib
0021-8634	JAER
0021-8693	JAlg
0021-8944	JAMTP
0021-8979	JAP
0021-9037	JApSp
0021-9045	JApT
0021-9142	JAnSc
0021-9517	JCat
0021-9584	JChEd
0021-9606	JChPh
0021-9614	JChTh
0021-9991	JCoPh
0022-0000	JCoSS
0022-0248	JCrGr
0022-0299	JDR
0022-0957	JExB
0022-1082	JFin
0022-1120	JFM
0022-1430	JGlac
0022-1694	JHyd
0022-2143	JLCMe
0022-2291	JLTP
0022-2496	JMPsy
0022-250X	JMSo
0022-2836	JMBio
0022-2852	JMoSp
0022-2860	JMoSt
0022-3093	JNCS
0022-3115	JNuM
0022-314X	JNT
0022-3670	JPO
0022-3697	JPCS
0022-3700	JPhy2
0022-3719	JPhC
0022-3727	JPhD
0022-3751	JPhsg
0022-3778	JPlPh
0022-4073	JQSRT
0022-4308	JRScT
0022-4596	JSSCh
0022-460X	JSV
0022-4650	JSpRo
0022-4715	JSP
0022-5096	JMPSo
0022-5193	JTBio
0023-1584	KiCat
0024-094X	Leo
0024-4937	Litho
0024-6115	PLMS
0024-8266	MNSSA
0024-9297	MaMol
0025-3235	MarGR
0025-5718	MCAMS
0025-5793	Mat
0026-1114	Metic
0026-1394	Metro
0026-4598	MinDe
0026-8976	MolPh
0027-0644	MWRv
0027-8424	PNAS
0028-0836	Natur
0028-1042	NW
0029-4780	NROA
0029-5515	NucFu
0029-554X	NucIM
0029-7704	Obs
0030-1299	Oikos
0030-3941	JOSA
0030-3992	OptLT
0030-400X	OptSp
0030-4018	OptCo
0030-770X	OxM
0031-1820	Paras
0031-5303	PMHu
0031-8194	Phy
0031-8655	PcPb
0031-8949	PhyS
0031-8965	PSSAR
0031-9007	PhRvL
0031-9015	PSJaJ
0031-9104	PCL
0031-9120	PhyEd
0031-9155	PMB
0031-918X	PMM
0031-9201	PEPI
0031-921X	PhTea
0031-9228	PhT
0031-9252	PhuZ
0032-0633	P&SS
0032-0781	PCPhy
0032-1028	PlPh
0032-2490	Plrfs
0032-3861	Poly
0033-0337	PELIS
0033-068X	PThPh
0033-4553	GeoPA
0033-4553	PApGe
0033-5835	QRBio
0033-7587	RaRe
0033-8443	R&QE
0034-4885	RPPh
0034-6527	RvES
0034-6535	RvE&S
0034-6748	RScI
0034-6853	RvGSP
0034-6861	PhRvS
0034-6861	RvMP
0035-001X	RMxF
0035-5917	NCimR
0035-8711	MNRAS
0035-872X	JRASC
0035-8738	QJRAS
0035-8835	JRCSE
0035-9009	QJRMS
0036-021X	RuCRv
0036-0244	RuJPC
0036-0279	RuMaS
0036-0295	RuMet
0036-5513	SJCLI
0036-8075	Sci
0036-8326	SciEd
0037-0738	SedG
0037-1106	BSSA
0037-4466	SiMaJ
0037-8720	MmSAI
0037-9727	PSEBM
0038-0938	SoPh
0038-0946	SoSyR
0038-1098	SSCom
0038-1101	SSEle
0038-5301	SvA
0038-5646	SJETP
0038-5670	SvPhU
0038-6308	SSRv
0039-0526	JRSSD
0039-6028	SurSc
0040-165X	TeCu
0040-1951	Tectp
0040-2826	Tell
0040-5779	TMP
0040-6015	ThEng
0040-6090	TSF
0041-5995	UkMJ
0042-1294	UsFiN
0043-1397	WRR
0043-1656	Wthr
0044-2275	ZaMP
0044-2313	ZAAC
0044-2968	ZKri
0044-4537	ZhFK
0046-5755	GeoD
0047-259X	JMA
0047-2689	JPCRD
0048-6604	RaSc
0049-1640	SouSt
0049-1748	SvJQE
0049-8246	XRS
0052-1123	BJAP
0065-3195	AdPoS
0065-9401	MetMo
0066-4146	ARA&A
0066-4189	AnRFM
0066-9997	PASAu
0067-0030	ApNr
0067-0049	ApJS
0073-2753	HisSc
0075-8450	LNP
0077-7579	JSR
0077-8923	NYASA
0079-6611	PrOce
0079-6727	PQE
0079-6816	PrSS
0080-4614	RSPTA
0080-4622	RSPTB
0080-4630	RSPSA
0080-4649	RSPSB
0081-0304	IAUC
0081-3869	STMP
0083-6656	VA
0084-6597	AREPS
0090-3752	NDS
0090-8312	EnS
0091-3286	OptEn
0091-4037	IJPM
0091-6358	Ast
0092-0606	JBP
0092-640X	ADNDT
0092-7872	CoAlg
0092-8240	BMBio
0093-3813	ITPS
0094-2405	MedPh
0094-243X	AIPC
0094-5846	FCPh
0094-8276	GeoRL
0094-8373	Palb
0094-9655	JSCS
0095-8956	JCTB
0095-9782	JSCh
0096-3941	EOSTr
0097-3165	JCTA
0098-3004	C&G
0098-3004	CG
0103-9733	BrJPh
0105-2896	ImRv
0108-2701	AcCrC
0108-7681	AcCrB
0129-0533	IJHSC
0129-055X	RvMaP
0129-1564	IJHSE
0129-167X	IJM
0129-1831	IJMPC
0130-9773	NInfo
0141-1594	PTMJ
0141-5492	BiotL
0141-8610	PMag
0141-8610	PMagA
0141-8637	PMagB
0142-2413	SHEP
0142-3312	TIMC
0142-5919	IJSE
0142-7253	Arch
0142-7253	ArchS
0143-0807	EJPh
0143-0815	CPPM
0143-3857	ETDS
0143-8166	OptLE
0144-5154	AsAut
0145-479X	JBB
0146-2970	ComAp
0146-6364	ChA 
0146-6410	PrPNP
0146-9592	OptL
0148-0227	JGR
0148-0227	JGRA
0148-0227	JGRB
0148-0227	JGRC
0148-0227	JGRD
0148-0227	JGRE
0148-0227	JGRF
0148-0227	JGRG
0148-6055	JRheo
0149-0451	GeomJ
0149-6395	SS&T
0150-536X	JOpt
0150-536X	NROpt
0157-244X	RScEd
0161-4940	CarRv
0161-5297	LPICo
0163-0563	NFAO
0163-1829	PhRvB
0163-8998	ARNPS
0165-0807	Moon
0166-8595	PsynR
0167-2738	SSIon
0167-2789	PhyD
0167-5729	SurSR
0167-594X	JNO
0167-8019	AcAM
0167-9295	EM&P
0167-9295	M&P
0167-9317	MiEng
0168-583X	NIMPB
0168-7433	JAuR
0168-9002	NIMPA
0169-2968	FInfo
0169-3298	SGeo
0169-3913	TPM
0169-4332	ApSS
0169-555X	Geomo
0169-6149	OLEB
0169-7722	JCHyd
0169-8095	AtmRe
0170-4214	MMAS
0170-9739	ZPhyC
0174-3635	ZAGeo
0177-7963	FBS
0177-7971	MAP
0177-798X	ThApC
0178-7675	CompM
0178-7683	ZPhyD
0185-1101	RMxAA
0185-1101	RMxAC
0190-2717	BCrAO
0191-8141	JSG
0191-9512	OzSE
0195-6698	EJC
0195-9271	IJIMW
0195-928X	IJT
0196-2892	ITGRS
0196-6774	JAlgo
0196-9722	CySys
0197-7482	PA
0202-2893	GrCo
0217-7323	MPLA
0217-751X	IJMPA
0217-9792	IJMPB
0217-9849	MPLB
0218-1266	JCSC
0218-2025	M3AS
0218-2165	JKTR
0218-2718	IJMPD
0218-3013	IJMPE
0218-396X	JCA
0218-625X	SRL
0218-625X	SuRvL
0218-8635	JNOPM
0218-8635	Nonli
0232-704X	AnGAG
0232-9298	SAMS
0236-5294	AcMaH
0246-0211	AnIHP
0250-6335	JApA
0253-2379	RAA
0253-4126	JESS
0253-4177	ChJS
0253-6102	CoTPh
0254-4059	ChJOL
0254-5330	AnOR
0256-1530	AdAtS
0256-307X	ChPhL
0257-8972	SuCT
0258-8988	BVol
0260-2288	SeRv
0260-2814	JSRP
0260-3055	AnGla
0261-4189	EMBO
0262-4079	NewSc
0263-0346	LPB
0263-5046	FiBr
0263-8762	CERDA
0264-3707	JGeo
0264-9381	CQGra
0265-6736	IJHy
0266-4763	JApS
0266-5611	InvPr
0267-0836	MSTec
0267-8179	JQS
0267-9477	JAAS
0268-0513	OLear
0268-1064	MiLa
0268-1110	DSSys
0268-1242	SeScT
0270-9511	LPSC
0271-2091	IJNMF
0271-3683	CEyeR
0271-9053	JAVSO
0272-4324	PCPP
0272-7714	ECSS
0273-1177	AdSpR
0275-1062	ChA&A
0276-0460	GML
0277-3791	QSRv
0277-786X	SPIE
0277-8033	JPrCh
0278-0062	ITMI
0278-1077	CoVar
0278-2391	JOMS
0278-4343	CSR
0278-6826	AS&T
0278-7407	Tecto
0280-6495	TellA
0280-6509	TellB
0281-1847	PhST
0295-5075	EL
0300-3604	Psyn
0301-0104	CP
0303-2434	IJAEO
0304-3843	HyInt
0304-8853	JMMM
0304-9523	BASI
0305-0041	MPCPS
0305-1048	NAR
0305-182X	JOR
0305-4470	JPhA
0305-4608	JPhF
0305-4624	PhTec
0305-4624	RvPT
0305-6120	CirW
0306-0012	ChSRv
0306-8919	OQE
0309-1708	AdWR
0309-1902	JMET
0309-1929	GApFD
0309-3247	JSAED
0315-1468	CaJCE
0320-930X	AVest
0324-2234	CoKon
0332-1649	Compe
0342-1791	PCM
0360-0327	SvAL
0360-2559	PPTEn
0360-5302	CoPDE
0360-6384	JPoSL
0361-0918	CoSSC
0361-0926	CoSTM
0361-5235	JEMat
0363-9061	IJNAM
0364-9229	AstQ
0365-0138	A&AS
0365-0499	AnAp
0365-5695	RSPS
0365-8910	BAN
0368-3389	JO
0368-492X	Kyb
0369-1829	MmRAS
0369-3546	NCimA
0369-3554	NCimB
0370-1328	PPS
0370-1328	PPSA
0370-1328	PPSB
0370-1328	PPSL
0370-1573	PhR
0370-1972	PSSBR
0370-2693	PhLB
0371-0459	SJMet
0372-8331	ZA
0373-3734	BABel
0373-3734	BOBeo
0373-4633	JNav
0374-0676	IBVS
0374-1958	MitAG
0375-9474	NuPhA
0375-9601	PhL
0375-9601	PhLA
0375-9687	PThPS
0376-0421	PrAeS
0377-0265	DyAtO
0377-0273	JVGR
0377-9017	LMaPh
0378-4371	PhyA
0379-380X	ReAer
0379-6779	SynMe
0385-4205	IJTFM
0385-4213	IJTPE
0385-4221	ITEIS
0386-2194	PJAA
0386-2208	PJAB
0387-1096	JHTS
0390-5551	NCimC
0392-6737	NCimD
0393-0440	JGP
0447-5500	WiEn
0485-8972	RatK
0549-3811	JSAST
0550-3213	NuPhB
0556-2791	PhRvA
0556-2813	PhRvC
0556-2821	PhRvD
0567-7718	AcMSn
0571-3285	BAAA
0571-7256	Ap
0577-9073	ChJPh
0583-466X	CoSka
0584-8547	AcSpe
0587-4246	AcPPA
0587-4254	AcPPB
0722-3277	PKM
0722-3277	ZPhyB
0722-6691	Msngr
0730-3300	TexMi
0731-356X	EMPS
0731-5171	FerLS
0731-6844	JRPC
0733-8724	JLwT
0734-2101	JVST
0734-211x	JVSTB
0736-2994	SAA
0736-6574	JMSC
0739-0572	JAtOT
0740-3224	OSAJB
0740-3232	OSAJ
0741-3106	IEDL
0741-3335	PPCF
0743-7463	Langm
0749-6036	SuMi
0829-8211	BCB
0862-7940	ApMa
0882-7516	APEC
0882-8156	WtFor
0883-8305	PalOc
0883-9514	ApAI
0884-2914	JMatR
0884-5913	KPCB
0885-2308	CS&L
0885-6087	HyPr
0885-6125	MLear
0885-7156	PDiff
0885-8977	ITPD
0885-8985	IAEMS
0886-0130	NuGeo
0886-6236	GBioC
0887-624X	JPoSc
0888-3270	MSSP
0888-6512	ApL
0888-6512	ApL&C
0889-9746	JFS
0890-0604	EDAM
0890-5401	InCo
0891-3943	BHarO
0894-0959	SDia
0894-1866	CoMP
0894-1866	ComPh
0894-6507	ITSM
0894-8755	JCli
0894-8763	JApMe
0894-9875	FPhL
0894-9875	FoPhL
0895-9811	JSAES
0899-7667	NeCom
0899-8221	PhFlB
0899-8256	GEB
0899-8418	IJCli
0901-5027	IJOMS
0905-7161	COIR
0909-752X	SRT
0913-6339	IJTIA
0916-1821	JIMMT
0918-7928	JPFR
0918-9963	TSE
0920-3036	KT
0920-5632	NuPhS
0920-5691	IJCV
0920-654X	CAMD
0921-0296	JIRS
0921-4526	PhyB
0921-4534	PhyC
0921-7134	AsAna
0921-8181	GPC
0921-898X	SBE
0923-2958	CeMDA
0924-2716	IJPRS
0924-7963	JMS
0924-9907	JMIV
0925-1030	AICSP
0925-2738	JBNMR
0925-3467	OptMa
0925-4005	SeAcB
0925-5001	JGO
0925-9899	JAlgC
0926-2040	SSNMR
0926-6003	COA
0926-6801	JHSN
0926-7220	Sc&Ed
0926-9851	JAG
0927-3972	Strab
0927-6505	APh
0928-0707	JSGST
0929-1881	APMat
0929-189X	ApCM
0929-5313	JCoN
0929-5607	Adsor
0930-0317	LNES
0930-7575	ClDy
0932-0776	ZNatB
0935-1175	CMT
0935-4956	A&ARv
0935-4964	ThCFD
0938-0108	MiST
0938-1287	ShWav
0939-7922	ZPhy
0939-7922	ZPhyA
0946-2171	ApPhB
0947-7411	HMT
0947-8396	ApPhA
0947-8396	ApPhy
0949-7714	JGeod
0950-0340	JMOp
0950-0693	IJSEd
0950-0839	PMagL
0950-1290	JPhE
0950-1290	JScI
0952-4746	JRP
0953-4075	JPhB
0953-8585	PhyW
0953-8984	JPCM
0954-0083	HPP
0954-3899	JPhG
0954-4054	IMEPB
0954-4062	IMEPC
0954-4070	IMEPD
0954-4089	IMEPE
0954-4100	IMEPG
0954-4119	IMEPH
0954-8998	QuOpt
0955-3002	IJRB
0956-540X	GeoJI
0956-7925	EJAM
0957-0233	MeScT
0957-4484	Nanot
0957-4530	JMSMM
0957-6509	IMEPA
0959-6518	IMEPI
0959-7174	WRM
0959-9428	JMCh
0959-9436	MeCom
0960-1317	JMiMi
0960-1627	MaFi
0960-3085	FBP
0960-3131	JElM
0960-3174	StCom
0960-7412	PlJ
0961-5539	IJNMH
0962-8452	PBioS
0963-0252	PSST
0963-5483	CPC
0963-9659	PApOp
0964-1726	SMaS
0965-0393	MSMSE
0965-5425	CMMPh
0967-0645	DSR
0967-1846	DSE
0967-3334	PhyM
0969-0239	Cellu
0969-806X	RaPC
0992-7689	AnGeo
1003-7713	ChJCP
1004-423X	AcPSn
1005-0841	SFCh
1007-5704	CNSNS
1009-0630	PlST
1009-9271	ChJAA
1011-372X	CatL
1012-2443	AnMAI
1016-3115	JIMO
1017-9909	JEI
1019-7168	AdCoM
1021-2043	CoAst
1021-6766	BaltA
1022-5528	ToCat
1023-5809	NPGeo
1023-8883	TriL
1027-5606	HESS
1028-334X	DokES
1028-3358	DokPh
1029-0257	IJCFD
1029-8479	JHEP
1040-7278	JCS
1040-7294	JDDE
1042-346X	JLasA
1042-6914	MMP
1043-0342	HGT
1045-1129	SSRp
1046-2023	MCME
1047-6938	OptPN
1050-3390	ASPC
1051-8223	ITAS
1052-8091	MPBu
1053-0509	JFlu
1054-1500	Chaos
1054-660X	LaPhy
1055-5269	SurSS
1055-6796	A&AT
1058-4587	InFer
1058-725X	MCLC
1058-7268	NlOpt
1058-9759	NDTE
1059-0145	JSEdT
1059-7123	AdBeh
1059-9495	JMEP
1059-9630	JTST
1061-9208	RJMP
1061-933X	ColJ
1062-0125	JEPT
1063-4584	OsCar
1063-5203	ACHA
1063-651X	PhRvE
1063-7710	APhy
1063-7729	ARep
1063-7737	AstL
1063-7745	CryRp
1063-7761	JETP
1063-7761	ZhETF
1063-777X	LTP
1063-7788	PAN
1063-780X	PlPhR
1063-7818	QuEle
1063-7826	Semic
1063-7834	PhSS
1063-7842	JTePh
1063-7850	TePhL
1063-7869	PhyU
1064-2293	EurSS
1064-5616	SbMat
1064-5632	IzMat
1064-7562	JMSP
1064-8887	RuPhJ
1065-2469	ITSF
1065-514X	VLSID
1066-5277	JCoB
1068-5200	OptFT
1069-2509	ICAE
1069-3513	IzPSE
1070-6631	PhFl
1070-664X	PhPl
1070-9622	SV
1070-9762	JOptT
1070-9878	ITDEI
1071-2836	JRLR
1071-4421	ComRv
1072-3374	JMSc
1072-8325	JWMSE
1073-5615	MMTB
1073-5615	MT
1073-5615	MTB
1073-5623	MMTA
1073-5623	MTA
1073-8584	Neuro
1075-7015	GeoOD
1075-9417	MCMS
1076-3279	TiEng
1077-2014	RTI
1077-3142	CVIU
1077-3169	GMIP
1077-5463	JVC
1079-2724	JDCS
1081-2865	MMS
1083-3668	JBO
1084-0184	PlPo
1086-9379	M&PS
1087-3562	EaInt
1088-4165	RTAMS
1090-7807	JMagR
1094-4087	OExpr
1096-7192	MGM
1098-2256	ETWQ
1099-0488	JPoSB
1144-0546	NJCh
1146-609X	AcO
1155-4304	JPhy1
1155-4320	JPhy3
1155-4339	JPhy4
1169-8837	BICDS
1219-7580	AcPhy
1225-052X	JASS
1225-4614	JKAS
1230-3402	OERv
1286-0042	EPJAP
1292-8941	EPJE
1314-5592	BlgAJ
1323-3580	PASA
1340-5551	JIEEJ
1340-8054	JSMEB
1341-2167	JJSEE
1341-8939	IJTSM
1344-6460	JSASS
1344-7653	JSMEC
1344-7912	JSMEA
1346-0714	TJSAI
1347-3832	SpT
1347-3840	TrSpT
1347-4073	JPSJ
1349-7308	EJSM
1349-9432	OptRv
1350-2409	IPECS
1350-4495	InPhT
1350-4827	MeApp
1350-486X	ApMF
1350-7265	Bern
1356-5362	MiInt
1361-6587	JNuE
1361-6668	SuScT
1364-5021	PMPES
1364-5498	FaDi
1364-6826	JASTP
1364-6826	JATP
1364-7830	CTM
1365-2966	MNRAS
1366-8781	A&G
1367-2630	NJPh
1367-9120	JAESc
1369-7072	SpEng
1380-2224	JPMat
1380-6645	RDR
1380-7870	LDA
1381-1231	JHeu
1382-4090	RamJ
1383-4649	JSeis
1383-5416	IJApE
1384-1076	NewA
1384-6566	Catt
1385-2000	MTDM
1385-3449	JElec
1386-9477	PhyE
1387-2176	BioMi
1387-6473	NewAR
1418-2874	JTAC
1422-6928	JMFM
1422-6944	PhP
1430-483X	Grund
1430-483X	ZFHDG
1431-2174	HydJ
1431-9276	MiMic
1432-0746	A&A
1432-0967	BeiMP
1432-1092	ENews
1432-1181	W&S
1432-1254	IJBB
1432-1297	InMat
1434-2944	IRH
1434-4483	AMGBB
1434-6001	EPJA
1434-6028	EPJB
1434-6044	EPJC
1434-6060	EPJD
1435-0157	HWM
1435-5930	JGS
1436-5065	AMGBA
1437-3254	IJEaS
1437-3262	GeoRu
1438-387X	HMR
1438-5171	SiMol
1440-2807	JAHH
1450-698X	SerAJ
1463-5003	OcMod
1463-9963	IFB
1464-343X	JAfES
1464-4193	IMEPK
1464-4258	PApO
1464-4266	QuSOp
1464-7931	BRCPS
1468-4845	RCD
1468-5248	JTurb
1468-6996	STAdM
1468-9367	DySys
1470-1138	RSTEd
1472-7773	DTr
1473-0197	LChip
1473-5504	IJAsB
1474-7065	PCE
1474-7065	PhChE
1475-4878	TrOS
1475-7516	JCAP
1476-1122	NatMa
1477-7622	AstPo
1478-3975	PhBio
1520-0469	BAMS
1520-0469	JAtS
1520-8532	JOSAA
1520-8540	JOSAB
1525-2027	GGG
1525-7541	JHyMe
1527-2427	JMP
1530-261X	AtScL
1531-1074	AsBio
1531-8567	PPNL
1531-863X	RJPCA
1531-8699	Th&Ae
1536-1225	IAWPL
1536-125X	ITNan
1536-5379	JON
1536-6065	PhRv
1536-6065	PhRvI
1538-3873	PASP
1538-3881	AJ
1538-4357	ApJ
1538-4365	ApJS
1542-7390	SpWea
1543-1851	JOM
1545-598X	IGRSL
1550-2295	IJCEM
1551-319X	JDisT
1553-7358	PLSCB
1554-9178	PRSTP
1555-6190	PPN
1555-6263	SGC
1556-1976	Geote
1557-2293	JMarA
1558-8432	JApMC
1561-8633	NHESS
1566-113X	NSpEc
1569-4410	PhNan
1571-0645	PhLRv
1572-9508	ExA
1573-0956	GeoSu
1573-1847	JSTEd
1573-4951	JCAMD
1573-871X	JEP
1573-9120	SvRP
1609-042X	ESASP
1612-2011	LaPhL
1612-202X	LaPhL
1614-4961	LRSP
1616-7341	OcDyn
1617-5034	AdSSP
1631-0705	CRPhy
1631-0713	CRGeo
1633-4760	EAS
1671-3664	EEEV
1671-7694	ChOpL
1673-3487	FrPhC
1674-1056	ChPhB
1674-1137	ChPhC
1674-4926	JSemi
1680-7316	ACP
1680-7340	AdG
1680-7367	ACPD
1684-9965	AdRS
1687-7977	AdAst
1740-3677	AntAs
1741-2552	JNEng
1741-3567	JOptA
1741-3575	JOptB
1741-4199	ChPhy
1742-2140	JGE
1742-5468	JSMTE
1742-6588	JPhCS
1743-9221	IAUS
1744-5175	CSEd
1745-2473	NatPh
1745-3933	MNRAS
1748-0221	JInst
1748-3190	BiBi
1748-3387	NatNa
1748-605X	BioMa
1748-9326	ERL
1749-4680	CS&D
1749-4893	NaPho
1752-7163	JBR
1752-9298	SpReT
1755-1307	E&ES
1755-4330	NatCh
1757-899X	MS&E
1758-5090	BioFa
1758-678X	NatCl
1801-5964	OEJV
1810-6277	BGD
1810-6528	ASTRA
1812-0792	OcSci
1812-0822	OcScD
1812-2116	HESSD
1812-5662	JApSc
1814-9332	CliPa
1814-9359	CliPD
1815-381X	Earth
1815-3836	EartD
1819-3463	RJPh
1824-016X	MmSAI
1845-8319	CEAB
1862-2844	ScChG
1866-3508	ESSD
1866-3591	ESSDD
1867-1381	AMT
1867-8610	AMTD
1869-9510	SolE
1869-9537	SolED
1873-7005	FlDyR
1874-0677	OPCJ
1874-1401	ONJ
1874-1584	OMJ
1874-1835	OAPJ
1874-186X	OCMPJ
1874-3285	OOJ
1874-4125	OCPJ
1874-415X	ONPPJ
1874-8376	OAcJ
1876-5343	OPPJ
1880-5558	JFST
1880-5566	JJTST
1880-5981	EP&S
1880-6821	PFR
1880-9871	JSMME
1881-3046	JSDD
1881-3054	JAMDS
1881-3062	JPES
1881-6894	JCST
1881-736X	JSpEn
1882-0778	APExp
1882-0786	APExp
1882-1782	JMSTL
1883-2398	JVSJ
1895-1082	CEJPh
1920-406X	ATel
1931-7573	NRL
1931-9401	ApPRv
1932-6203	PLoSO
1938-5862	ECSTr
1943-2879	PhyOJ
1945-7111	JElS
1951-6355	EPJST
1990-3413	AstBu
1991-959X	GMD
1991-9611	GMDD
1992-0628	AdSR
1993-033X	JThSc
1993-0658	ApGeo
1993-1344	AcSSn
1993-5013	OptEL
1993-5021	JOUC
1993-5048	JMSA
1994-0416	TCry
1994-0432	TCD
1994-5396	ER
1996-1944	Mare
2041-8205	ApJL
2043-6262	ANSNN
2050-3911	PTEP
2050-6120	MApFl
2051-672X	SuTMP
2052-4463	NatSD
2053-051X	PASJ
2053-1583	TDM
2053-1591	MRE
2058-9565	QS&T
2075-4434	Galax
2090-9985	JAsGe
2151-2043	ECSMA
2158-3226	AIPA
2160-3308	PhRvX
2161-4717	IJAA
2162-8769	JSSST
2162-8777	JSSST
2166-532X	APLM
2168-0264	NewSp
2169-8953	JGRG
2169-8961	JGRG
2169-897X	JGRA
2169-897X	JGRD
2169-8996	JGRD
2169-9003	JGRF
2169-9011	JGRF
2169-9097	JGRE
2169-9100	JGRE
2169-9275	JGRC
2169-9291	JGRC
2169-9313	JGRB
2169-9356	JGRB
2169-9402	JGRA
2197-4284	PEPS
2212-6864	PDU
2214-5524	LSSR
2218-1997	Univ
2251-1717	JAI
2296-987X	FrASS
2329-4124	JATIS
2331-7019	PhRvP
2333-5084	E&SS
2364-3587	ACSMO
2378-0967	APLP
2397-3366	NatAs
2399-1984	NanoF
2399-6528	JPhCo
2399-7532	MuMat
2411-6602	AstSR
2415-7007	RRPRA
2469-9896	PRPER
2469-990X	PhRvF
2475-9066	JOSS
2475-9953	PhRvM
2500-0535	STP
2515-5172	RNAAS
2515-7620	ERCom
2515-7639	JPhM
2515-7647	JPhP
2515-7655	JPEn
2516-1067	PlREx
2516-1075	EleSt
2516-1083	PrEne
2516-1091	PBioE
2543-6376	OAst
2565-6120	OJAp
2631-6331	FCS
2631-7990	IJExM
2631-8644	IJExM
2631-8695	ERExp
2632-072X	JPCom
2632-2153	MLS&T
2632-3338	PSJ
2632-959X	NanoE
2633-1357	IOPSN
2633-4356	MatQT
2634-4505	ERIS
2639-0213	AVSQS
2643-1564	PhRvR
2663-7715	KFNT
8755-1209	RvGeo
8755-3996	ICD
