A&A	Astronomy and Astrophysics
AdTAM	Advances in Theoretical and Applied Mechanics
AdThP	Advances in Theoretical Physics
AdTMP	Advances in Theoretical and Mathematical Physics
AdWR	Advances in Water Resources
AeAm	Aerospace America
AeCh	Aerospace China
AeCM	Aerospace Composites and Materials
AEdRv	Astronomy Education Review
AeDy	Aerospace Dynamics
AeEn	Aerospace Engineering
AEEP	Advances in Electronics and Electron Physics
AEEPS	Advances in Electronics and Electron Physics Supplement
AeIBu	Aerokosmicheski Izsledvaniia Bulgariia
AeJ	Aeronautical Journal
Aekv	Aerodinamika kanalov i ventiliatorov
AeMat	Aerospace Materials
AeMed	Aerospace Medicine
AeMiS	Aerotecnica Missili and Spazio
AeoRe	Aeolian Research
AeQ	Aeronautical Quarterly
AeRaG	Aerodinamika Razrezhennykh Gazov
AerAs	L'Aeronautique et L'Astronautique
aeri.rept	Atmospheric and Environmental Research, Inc. Report
AerMS	L'Aerotecnica Missili e Spazio
Aero	Aerospace UK
AerRv	Revue Aerospatiale
AerSE	Aerosol Science and Engineering
AerST	Aerosol Science Technology
AerSy	Aerospace Systems
AerTe	Aerojet Technology
AeSIJ	Aeronautical Society India Journal
AeTJa	Aerospace Technology Japan
AExpr	Astronomy Express
AFChr	Annales Francaises de Chronometrie
AFGL	AFGL-TR-0208 Environemental Research papers
AFLB	Annales de la Fondation Louis de Broglie
AFMa	Air Force Magazine
AFOEV	Bulletin de l'Association Francaise d'Observateurs d'Etoiles Variables
AFRE	Alta Frequenza Rivista di Elettronica
AfrSk	African Skies
AfRvP	The African Review of Physics
Afz	Astrofizika
AGAb	Astronomische Gesellschaft Abstract Series
AgFM	Agricultural and Forest Meteorology
AGILE	AGILE: GIScience Series
AGM	Astronomische Gesellschaft Meeting Abstracts
Agrph	The Astrograph
AGUA	AGU Advances
AGUFM	AGU Fall Meeting Abstracts
AGUSM	AGU Spring Meeting Abstracts
AHEEM	Archives of Hydro-Engineering and Environmental Mechanics
AHES	Archive for History of Exact Sciences
AHSJ	American Helicopter Society Journal
aiaa.conf	American Institute of Aeronautics and Astronautics Conference
aiaa.meet	AIAA, Aerospace Sciences Meeting
AIAAJ	AIAA Journal
AIASJ	AIAA Student Journal
AIChE	AIChE Journal
aifo.rept	Air Force Interim Report
AIH	Acoustical Imaging and Holography
AIHAJ	AIHA Journal
AIHPA	Annales de L'Institut Henri Poincare Section (A) Physique Theorique
AIHPB	Annales de L'Institut Henri Poincare Section (B) Probability and Statistics
AIHPC	Annales de L'Institut Henri Poincare Section (C) Non Linear Analysis
AiInt	Air International
AIMSG	AIMS Geosciences
AIPA	AIP Advances
AIPC	American Institute of Physics Conference Series
AIQSY	Annals of the IQSY
AirCo	Air et Cosmos
AirE	Aircraft Engineering
AirSE	Air and Space Europe
AirSp	Air and Space
AISAO	Astrofizicheskie Issledovaniia Izvestiya Spetsial'noj Astrofizicheskoj Observatorii
AISof	Astrofizicheskie Issledovaniya Sofia
AJ	The Astronomical Journal
AJB	Astronomischer Jahresbericht
AJCh	Australian Journal of Chemistry
AJGeo	American Journal of Geoscience
AJS	The Astronomical Journal Supplement
AJSE	Arabian Journal of Science Engineering
AJSEd	Atlas Journal of Science Education
AkAtP	Akademia Athenon Praktika
AkTek	Akustika i Ul trazvukovaia Tekhnika
AkZh	Akusticheskii Zhurnal
alab.rept	Alabama Univ., Huntsville Report
AlFr	Alta Frequenza
ALMAN	ALMA Newsletter
AMat	Applied Mathematics
Ambio	Ambio
AMCE	Archiveds of Civil and Mechanical Engineering
ames.rept	NASA Ames Research Center Technical Report
AMGBA	Archives for Meteorology Geophysics and Bioclimatology Series A Meteorology and Atmopsheric Physics
AMGBB	Archives for Meteorology Geophysics and Bioclimatology Series B Theoretical and Applied Climatology
AMGBK	Archiv Meteorologie Geophysik und Bioklimatologie Serie B Klimatologie und Umweltmeteorologie Strahlungsforschung
AMGBS	Archiv Meteorologie Geophysik und Bioklimatologie Serie Meteorologie und Geophysik
AmJC	American Journal of Cardiology
AmJM	American Journal of Mathematics
AmJPh	American Journal of Physics
AmJS	American Journal of Science
AmJSA	American Journal of Science and Arts
AMM	Applied Mechanics and Materials
AmMin	American Mineralogist
AMP	Advanced Materials and Processes
AMR	Antarctic Meteorite Research
AmSci	American Scientist
AMT	Atmospheric Measurement Techniques
AMTD	Atmospheric Measurement Techniques Discussions
AMTM	Archives of Mechanical Technology and Materials
AN	Astronomische Nachrichten
Ana	The Analyst
AnaCh	Analytical Chemistry
AnAIK	Annales de l'Observatoire astronomique de l'Universit&eacute; im&eacute;riale de Kharkow
AnaIn	Analytical Instrumentation
AnAp	Annales d'Astrophysique
AnAPM	Annales de l'Observatoire d'astronomie physique de Paris, Section d'astrophysique, &agrave; Meudon
AnApS	Annals of Applied Statistics
AnBes	Annales de l'Observatoire de Besancon
AnBog	Neue Annalen der Koeniglichen Sternwarte in Bogenhausen bei Muenchen
AnBor	Annales de l'Observatoire de Bordeaux
AnBos	Annals of the Bosscha Observatory Lembang (Java) Indonesia
AnBru	Annales de l'Observatoire Royal de Bruxelles
AnCap	Annals of the Cape Observatory
AnCGH	Annals of Royal Observatory, Cape of Good Hope
AnCPh	Annales de Chimie et de Physique
AnDea	Annals of the Dearborn Observatory
AnDud	Annals of the Dudley Observatory
AnEdi	Annals of the Royal Observatory, Edinburgh
AnErg	Ergaenzungshefte zu den Astronomischen Nachrichten
Anews	ASTRON Newsletter
AnFis	Anales de Fisica
AnG	Annales de Geophysique
AngCh	Angewandte Chemie
AnGeo	Annales Geophysicae
AnGla	Annals of Glaciology
AnGp	Annals of Geophysics
AnGVP	Annales du Bureau des Longitudes, Gauthier-Villars, Paris
AnHar	Annals of Harvard College Observatory
AnHP	Annales Henri Poincar&eacute;
AnIPS	Annals of the Israel Physical Society
ANLAF	Accademia Nazionale dei Lincei Atti Rendiconti Classe di Scienze Fisiche e Naturali
ANLAM	Accademia Nazionale dei Lincei Atti Rendiconti Classe di Matematica e Applicazioni
ANLAR	Accademia Nazionale dei Lincei Atti Rendiconti Classe di Scienze Fisiche Matematiche e Naturali
AnLei	Annalen van de Sterrewacht te Leiden
AnLL	Annals of the Observatory of Lucien Libert
AnLow	Annals of the Lowell Observatory
AnLun	Annals of the Observatory of Lund
AnLuS	Annals of the Observatory of Lund Supplement
AnMat	Annals of Mathematics
AnMet	Annalen Meteorologie
AnMN	Antarctic Meteorite Newsletter
AnMP	Analysis and Mathematical Physics
AnMun	Annalen der Koeniglichen Sternwarte bei Muenchen
AnMuS	Supplementband zu den Annalen der Munchener Sternwarte
AnNic	Annales de l'Observatoire de Nice
AnOB	Annales de l'Observatoire Royal de Belgique
AnOBN	Annales de l'Observatoire Royal de Belgique Nouvelle serie
AnOLL	Annals of the Private Observatory of Lucien Libert
AnOSt	Annales de l'Observatoire de Strasbourg
AnP	Annalen der Physik
AnPar	Annales de l'Observatoire de Paris
AnPCS	Annales de Physique Colloque Supplement
AnPh	Annales de Physique
AnPhy	Annals of Physics
AnPOb	Annales de l'Observatoire de Paris. Observations
AnRE	Annual Review of Energy
AnRFM	Annual Review of Fluid Mechanics
AnRio	Annales de l'Observatoire Imperial de Rio de Janeiro
AnRMS	Annual Review of Materials Research
AnRS	Antarctic Research Series
AnRSA	Annual Review of Statistics and Its Application
ANS	Astronomische Nachrichten Supplement
AnSAO	Annals of the Astrophysical Observatory of the Smithsonian Institution
AnSci	Annals of Science
AnShO	Shanghai Observatory Annals
ANSNN	Advances in Natural Sciences: Nanoscience and Nanotechnology
AnSPC	Annals of the Solar Physics Observatory Cambridge England
AnSSM	Annals of Solid and Structural Mechanics
AnSta	Annals of Statistics
AnStr	Annalen der Kaiserlichen Universitats-Sternwarte in Strassburg
AnSWi	Annalen der K.K. Universitaets-Sternwarte in Wien
AntAs	The Antiquarian Astronomer
AnTec	Annales Tectonicae
AnTel	Annales des Telecommunications
Anten	Antenny
Antk	Antarktika
AnTok	Annals of the Tokyo Astronomical Observatory
AnTou	Annales de l'Observatoire Astron. et Meteo. de Toulouse
AntSc	Antarctic Science
AnUCP	Annals of the University of Craiova Physics AUC
AnWiD	Annalen der Universitaets-Sternwarte Wien, Dritter Folge
AnWie	Annalen der K.K. Sternwarte Wien
ANZi	Beobachtungs-Zirkular der Astronomischen Nachrichten
AnZoC	Annales de l'Observatoire astronomique de Z&ocirc;-s&egrave; (Chine)
AOIJ	Academic Open Internet Journal
AOPP	Atmospheric Oceanic and Planetary Physics
AOTok	Annales de l'Observatoire astronomique de Tokyo
Ap&SS	Astrophysics and Space Science
Ap	Astrophysics
ApAc	Applied Acoustics
ApAN	Apatity Akademiia Nauk SSSR
APCAJ	Air Pollution Control Association Journal
ApCM	Applied Composite Materials
APCRS	Archives of Photogrammetry, Cartography and Remote Sensing
Apei	Apeiron
ApEn	Applied Energy
ApEnM	Applied and Environmental Microbiology
APExp	Applied Physics Express
APFUS	Annals of the Physics Faculty of the University of Sofia
ApGC	Applied Geochemistry
ApGeo	Applied Geophysics
APh	Astroparticle Physics
APHHI	Acta Physica Hungarica Heavy Ion Physics
APHQE	Acta Physica Hungarica Quantum Electronics
APhy	Acoustical Physics
ApHyd	Applied Hydrogeology
ApInv	Astrophysical Investigations
ApJ	The Astrophysical Journal
APJAS	Asia-Pacific Journal of Atmospheric Sciences
ApJS	The Astrophysical Journal Supplement Series
ApKF	Apatity Kol skii Filial AN SSSR
ApL&C	Astrophysical Letters and Communications
ApL	Astrophysical Letters
APLM	APL Materials
APLP	APL Photonics
ApMaC	Applied Mathematics Computation
ApMaL	Applied Mathematics Letters
ApMaM	Applied Mathematics Mechanics English Edition
ApMaO	Applied Mathematics Optimization
ApMat	Aplikace Matematiky, Applied Mathematics
ApMic	Applied Microbiology
ApMM	Applied Mathematics and Mechanics
ApMRv	Applied Mechanics Reviews
ApMT	Applied Microgravity Technology
ApNan	Applied Nanoscience
ApNM	Applied Numerical Mathematics
ApNr	Astrophysica Norvegica
ApOpt	Applied Optics
AppAn	Applicable Analysis
ApPhA	Applied Physics A: Materials Science & Processing
ApPhB	Applied Physics B: Lasers and Optics
ApPhC	Applied Physics Communications
ApPhL	Applied Physics Letters
ApPhR	Applied Physics Research
ApPhy	Applied Physics
ApPPL	Applied Physics B Photophysics Laser Chemistry
ApPRv	Applied Physics Reviews
APPSB	Association of Asia Pacific Physical Societies Bulletin
apra.prop	NASA APRA Proposal
APS	APS Meeting Abstracts
APS..4CF	APS Four Corners Section Meeting Abstracts
APS..APR	APS April Meeting Abstracts
APS..CAL	APS California Section Meeting Abstracts
APS..DFD	APS Division of Fluid Dynamics Meeting Abstracts
APS..DMP	APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts
APS..DNP	APS Division of Nuclear Physics Meeting Abstracts
APS..DPP	APS Division of Plasma Physics Meeting Abstracts
APS..GEC	APS Annual Gaseous Electronics Meeting Abstracts
APS..MAR	APS March Meeting Abstracts
APS..NEF	APS New England Section Fall Meeting Abstracts
APS..NES	APS New England Section Spring Meeting Abstracts
APS..NWS	APS Northwest Section Meeting Abstracts
APS..OSF	APS Ohio Sections Fall Meeting Abstracts
APS..OSS	APS Ohio Sections Spring Meeting Abstracts
APS..PSF	APS Prairie Section Meeting Abstracts
APS..SES	APS Southeastern Section Meeting Abstracts
APS..SHK	APS Shock Compression of Condensed Matter Meeting Abstracts
APS..TSF	APS Texas Sections Fall Meeting Abstracts
APS..TSS	APS Texas Sections Spring Meeting Abstracts
ApScR	Applied Scientific Research
ApSE	Applied Solar Energy
ApSpe	Applied Spectroscopy
ApSRA	Applied Scientific Research Section A
ApSRB	Applied Scientific Research Section B
ApSRv	Applied Spectroscopy Reviews
ApSS	Applied Surface Science
ApSSP	Astrophysics and Space Science Proceedings
ApSSS	Astrophysics and Space Science Supplement
ApSup	Applied Superconductivity
ApWS	Applied Water Science
AR&T	Astronomical Research and Technology
ARA&A	Annual Review of Astronomy and Astrophysics
ArA	Arkiv for Astronomi
ARAC	Annual Review of Analytical Chemistry
ArAco	Archives Acoustics
ArAku	Archiwum Akustyki
ARAOJ	Annual Report of the National Astronomical Observatory of Japan
ArAuT	Archiwum Automatyki i Telemechaniki
ArBei	Astrophysics Reports Publications of the Beijing Astronomical Observatory
ARBl	Aerospace Research in Bulgaria
ArBuM	Archiwum Budowy Maszyn
Arch	Archaeoastronomy
ArchS	Archaeoastronomy Supplement
arcl.rept	Applied Research Corp. Annual Report
ARCMP	Annual Review of Condensed Matter Physics
ArCom	Archivum Combustionis
AReg	Astronomical register
ArEle	Archiwum Elektrotechniki
ArElU	Archiv Elektronik und Uebertragungstechnik
ARep	Astronomy Reports
AREPS	Annual Review of Earth and Planetary Sciences
ArG	Arkiv for Geofysik
ARIJ	An Interdisciplinary Journal of Physical and Engineering Sciences
ARIST	Annual Review of Information Science and Technology
ArJPh	Armenian Journal of Physics
ArM	Arkiv for Matematik
ArMAF	Arkiv for Matematik, Astronomi och Fysik
ArMaN	Archiv for Mathematik og Naturvidenskab
ArMeS	Archiv of Mechanics, Archiwum Mechaniki Stosowanej
ArMiS	Archives of Mining Sciences
ARMS	Annual Review of Marine Science
ARNPS	Annual Review of Nuclear and Particle Science
ArNSc	Archives Neerlandaises des Sciences Exactes et Naturelles
ARPC	Annual Review of Physical Chemistry
ARPM	Adgeziia Rasplavov i Paika Materialov
ArPSp	Archiwum Procesow Spalania
ArRMA	Archive for Rational Mechanics and Analysis
ArS	Archives des Sciences
ArSPN	Archives des Sciences Physiques et Naturelles
ArTh	Archives of Thermodynamics
ArTr	Archives of Transport
ArtSa	Artificial Satellites
ArTSp	Archiwum Termodynamiki i Spalania
arXiv	arXiv e-prints
As&Ge	Astronomiya i geodeziya
AsAc	Astronautica Acta
AsAer	Astronautics Aeronautics
ASAJ	Acoustical Society of America Journal
AsBio	Astrobiology
ASBTV	Archenhold-Sternwarte Berlin-Treptow, Vortrage Schr.
asc..rept	Space Telescope ASC Instrument Science Report
ascl.soft	Astrophysics Source Code Library
ASCMO	Advances in Statistical Climatology Meteorology and Oceanography
asd..soft	Astrophysics Software Database
asdy.conf	AAS/AIAA Astrodynamics Conference
AsDyn	Astrodynamics
ASFAS	Academia Scientiarum Fennica Annales Series Physica
ASHRA	ASHRAE Journal
ASIB	NATO Advanced Study Institute (ASI) Series B
ASIC	NATO Advanced Study Institute (ASI) Series C
ASInC	Astronomical Society of India Conference Series
AsJES	Austrian Journal of Earth Sciences
AsJPh	Asian Journal of Physics
ASL	Advanced Science Letters
ASLLR	Accademia di Scienze e Lettere Istituto Lombardo Rendiconti Serie della Classe di Scienze Matematiche e Naturali Sezione Scienze Matematiche Fisiche Chimiche e Geologiche
ASME	American Society of Mechanical Engineers
Asnau	Astronautik
AsNot	Astronomical Notices
AsNow	Astronomy Now
ASNYN	News Letter of the Astronomical Society of New York
ASPC	Astronomical Society of the Pacific Conference Series
ASPL	Leaflet of the Astronomical Society of the Pacific
ASPLS	Leaflet of the Astronomical Society of the Pacific (Supplement)
ASPRv	Astrophysics and Space Physics Reviews
ASSAB	Academie Serbe des Sciences et des Arts Bulletin Classe des Sciences Techniques
ASSB	Annales de la Soci&eacute;t&eacute; Scientifique de Bruxelles
AsSch	Astronomie in der Schule
ASSF	Acta Societatis Scientarum Fennicae
ASSFA	Acta Societatis Scientarum Fennicae Series A
ASSL	Astrophysics and Space Science Library
ASSP	Astrophysics and Space Science Proceedings
ASST	Advances in Space Science and Technology
Ast	Astronomy
AstAp	Astronomy and Astro-Physics (formerly The Sidereal Messenger)
AstBa	Biblioteca "Astrei Basarabene"
AstBu	Astrophysical Bulletin
Aster	Aster
AstHe	Astronomical Herald
AstL	Astronomy Letters
Astnm	Astronomia UAI
AstPo	Astropolitics
AstQ	Astronomy Quarterly
Astr	The Astronomer
ASTRA	Astrophysics and Space Sciences Transactions
Astro	Astronomy
astro.ph	arXiv Astrophysics e-prints
ASTRP	ASTRA Proceedings
AstRv	The Astronomical Review
AstSR	Astronomical School's Report
AstUI	Analele stiintifice ale Universitatii Iasi
asu..rept	Arizona State University Technical Report
AsUAI	Astronomia. La rivista dell' Unione Astrofili Italiani
ATel	The Astronomer's Telegram
ATel1	The Astronomer's Telegram
AtEn	Atomnaia Energiia
AtERv	Atomic Energy Review
ATi	Astronomisk Tidsskrift
ATJAM	ASME Journal of Applied Mechanics
ATJDS	ASME Journal of Dynamic Systems and Measurement Control B
ATJEG	ASME Journal of Engineering Gas Turbines and Power
ATJEl	ASME Journal of Electronic Packaging
ATJEM	ASME Journal Engineering Materials and Technology
ATJEP	ASME Journal of Engineering Power
ATJFE	ASME Journal of Fluids Engineering
ATJHT	ASME Journal of Heat Transfer
ATJLT	ASME Journal of Lubrication Technology
ATJSE	ASME Journal of Solar Energy and Engineering
ATJTr	ASME Journal of Tribology
ATJTu	ASME Journal of Turbomachinery
ATJVA	ASME Journal of Vibration Acoustics
AtKe	Atomkernenergie
AtlVS	Atlas Poiskovykh Kart Peremennykh Zvezd
ATMAB	Association Technique Maritime et Aeronautique Bulletin
ATMAS	Association Technique Maritime et Aeronautique Session Paris France ONERA TP
AtmEB	Atmospheric Environment Part B
AtmEn	Atmospheric Environment
Atmos	Atmosphere
AtmRe	Atmospheric Research
AtmTe	Atmospheric Technology
atnf.prop	ATNF Proposal
AtO	Atmosphere Ocean
Atoms	Atoms
AtOO	Atmospheric and Oceanic Optics
AtOpt	Atmosphere Optics
atp..prop	NASA ATP Proposal
AtPhy	Atomic Physics
ATR	ATR Australian Telecommunication Research
AtSc	Atmospheric Science
AtScL	Atmospheric Science Letters
ATsir	Astronomicheskij Tsirkulyar
AtST	Atomisation Spray Technology
ATTM	AEG Telefunken Technische Mitteilungen
ATTTJ	AT T Technical Journal
AUGGM	Annales UMCS, Geographia, Geologia, Mineralogia et Petrographia
AuJA	Australian Journal of Astronomy
AuJES	Australian Journal of Earth Sciences
AuJPA	Australian Journal of Physics Astrophysical Supplement
AuJPh	Australian Journal of Physics
AuMM	Australian Meteorological Magazine
AuMSJ	Australian Mathematical Society Journal Series B -- Applied Mathematics
AuRob	Autonomous Robots
AurPh	Auroral physics
AUSPh	Annales UMCS, Sectio AAA: PHYSICA
AuSRA	Australian Journal of Scientific Research A Physical Sciences
Autom	Automatica
AVest	Astronomicheskii Vestnik
AVET	Atomno Vodorodnaia Energetika i Tekhnologiia
AVISS	Astronomicheskii Vestnik Issledovaniia Solnechnoi Sistemy
AvKos	Aviatsiia i Kosmonavtika
AvPE	Avtomatizatsiia Proektirovaniia Elektronike
AvSeM	Aviation Space and Environmental Medicine
AVSOM	American Association of Variable Stars Observers Monographs
AVSOR	American Association of Variable Stars Observers Reports
AVSQS	AVS Quantum Science
AvTek	Aviatsionnaia Tekhnika
AvTel	Avtomatika i Telemekhanika
Avtme	Avtometriia
AvWST	Aviation Week Space Technology
AWUTP	Annals of West University of Timisoara - Physics
AzAJ	Azerbaijani Astronomical Journal
AZh	Astronomicheskii Zhurnal
AZWis	Astronomisches Zirkular der Akademie der Wissenschaften der UdSSR
BAAA	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...47	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...48	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...49	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...50	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...51	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...52	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...53	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...54	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...55	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...56	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...57	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...58	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...59	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...60	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...61	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...62	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...63	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAPG	Bulletin of the American Association of Petroleum Geologists
BAAS	Bulletin of the American Astronomical Society
BAAVC	British Astronomical Association Variable Star Section Circular
